,Semantic Matrix
0,"[[-0.0230193   0.0844041  -0.0952744  ...  0.15729859  0.0337297
  -0.0202218 ]
 [ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0750018   0.000786   -0.0315556  ...  0.0981731  -0.0896363
   0.0780507 ]
 ...
 [ 0.0423902   0.0199484  -0.090391   ...  0.016208    0.0069352
   0.0445721 ]
 [ 0.0316356   0.1254745  -0.080624   ... -0.0337713  -0.0720811
   0.0319025 ]
 [ 0.0792638  -0.0283594  -0.0280034  ...  0.0269355   0.0169682
   0.0192227 ]]"
1,"[[ 0.0114162   0.0827042  -0.0705269  ...  0.0362782  -0.0806746
   0.017378  ]
 [ 0.0171981  -0.0074934  -0.057982   ...  0.13955    -0.1192399
   0.0746887 ]
 [ 0.0040587   0.0671903  -0.0938735  ...  0.1620283  -0.0906587
   0.0184854 ]
 ...
 [-0.0195744   0.0522916  -0.0508934  ...  0.0545287  -0.0292218
   0.0494952 ]
 [-0.0493404  -0.0611721  -0.0740107  ...  0.0367536   0.1032122
  -0.0033355 ]
 [-0.0101377   0.0479239  -0.073729   ...  0.14844111  0.0425171
   0.0503815 ]]"
2,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0750018  0.000786  -0.0315556 ...  0.0981731 -0.0896363  0.0780507]
 ...
 [-0.0370127  0.0652477 -0.1732135 ...  0.0380368  0.061444  -0.0016275]
 [ 0.0061009 -0.021205  -0.0544934 ...  0.0188358 -0.0183619  0.0523611]
 [ 0.060112   0.0894128 -0.0531644 ...  0.0020295 -0.0252229  0.0960584]]"
3,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [-0.0123308 -0.0051449 -0.0714337 ...  0.0435405  0.0033591  0.0884417]
 ...
 [ 0.0530242  0.0834738 -0.0976486 ...  0.0028875  0.0230997  0.0320245]
 [-0.0070632 -0.0185327 -0.0448413 ...  0.0502845 -0.0409533  0.064022 ]
 [ 0.0642896  0.0468128 -0.0689709 ...  0.0332371  0.065538  -0.0141999]]"
4,"[[ 0.0443811   0.0225892  -0.1047076  ... -0.040129    0.03694
   0.0224563 ]
 [-0.0460942  -0.0074747  -0.12644771 ...  0.0414225   0.0267845
   0.0317676 ]
 [ 0.0073618   0.0380875  -0.0357952  ...  0.0973346  -0.0134893
   0.0705323 ]
 ...
 [-0.0195744   0.0522916  -0.0508934  ...  0.0545287  -0.0292218
   0.0494952 ]
 [-0.0248256  -0.0297907  -0.1412932  ...  0.0060291   0.0246838
   0.0001773 ]
 [ 0.0149876   0.0866554  -0.0801154  ...  0.0517752   0.0053819
   0.0282039 ]]"
5,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0001704  0.0099323  0.0016067 ...  0.0909876 -0.0520374  0.0193972]
 ...
 [ 0.0149876  0.0866554 -0.0801154 ...  0.0517752  0.0053819  0.0282039]
 [ 0.0637535 -0.0552335 -0.0640473 ...  0.0302609 -0.0578776 -0.0198312]
 [ 0.0827791 -0.0541248  0.0645446 ... -0.0512304  0.0214184  0.0460206]]"
6,"[[ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0270985  0.0400995 -0.1083939 ...  0.0264719  0.0410393  0.0341472]
 ...
 [-0.0182707  0.0542651 -0.1080925 ...  0.0459502 -0.0813976  0.0100653]
 [ 0.0071271  0.0582511 -0.1115658 ...  0.0451693  0.062694  -0.0148096]
 [ 0.0330122  0.1609523 -0.0651743 ...  0.1484842 -0.0722585  0.0405214]]"
7,"[[ 0.0114162  0.0827042 -0.0705269 ...  0.0362782 -0.0806746  0.017378 ]
 [ 0.0693876 -0.001492  -0.0770266 ... -0.0451974 -0.0649315  0.0576108]
 [ 0.0443811  0.0225892 -0.1047076 ... -0.040129   0.03694    0.0224563]
 ...
 [ 0.0174322  0.0076117 -0.0499086 ...  0.0256707  0.126085   0.0122384]
 [-0.0102912  0.0398456 -0.0071577 ...  0.0646501 -0.0187353  0.0577893]
 [-0.0137416  0.0962888 -0.0498987 ...  0.0382037  0.0619835  0.0881023]]"
8,"[[ 0.0040587  0.0671903 -0.0938735 ...  0.1620283 -0.0906587  0.0184854]
 [ 0.0171981 -0.0074934 -0.057982  ...  0.13955   -0.1192399  0.0746887]
 [ 0.0750018  0.000786  -0.0315556 ...  0.0981731 -0.0896363  0.0780507]
 ...
 [-0.0226544 -0.039     -0.0980735 ...  0.054772  -0.0814412  0.0691103]
 [-0.0195744  0.0522916 -0.0508934 ...  0.0545287 -0.0292218  0.0494952]
 [ 0.0727434  0.0065671 -0.0953747 ...  0.070588  -0.0458014  0.0204759]]"
9,"[[ 0.045512   0.0899273 -0.0921207 ... -0.0026389 -0.0124061  0.0567529]
 [-0.0512562 -0.0170427 -0.1225023 ...  0.1178892 -0.0035239  0.0527939]
 [ 0.0581416  0.000601  -0.1082328 ...  0.0409227 -0.09571    0.011796 ]
 ...
 [ 0.0073618  0.0380875 -0.0357952 ...  0.0973346 -0.0134893  0.0705323]
 [ 0.0260365  0.0084838 -0.0459296 ...  0.0912741 -0.0947846  0.0397861]
 [-0.0501677  0.1036577 -0.0272434 ...  0.0581414 -0.080069   0.0116283]]"
